Sweet corn (frozen),1/2 cup,,67.00,0.08,0.60,0.10,0.00,0.00,1.00,15.90,2.00,2.50,2.10,3.00,5.00,0.00,2.00,2.15,16.06,26.89,7.90,0.12
Mixed vegetables (frozen),1/2 cup,,59.00,0.09,0.10,0.00,0.00,0.00,32.00,11.90,4.00,2.80,2.60,78.00,5.00,2.00,4.00,2.21,4.04,12.56,6.44,0.20
Onions (dehydrated),1/4 cup,,49.00,0.01,0.10,0.00,0.00,0.00,3.00,11.70,1.30,5.20,1.30,0.00,17.00,4.00,1.00,0.06,1.13,1.72,0.68,0.01
Potatoes (dehydrated),1/2 cup,,106.00,0.03,0.10,0.10,0.00,0.00,23.00,24.40,2.00,1.00,2.50,0.00,40.50,1.00,2.00,0.17,6.64,13.11,17.63,0.02
Shoestring potatoes,1/2 cup,,50.00,0.03,1.90,0.40,0.00,0.00,97.00,7.70,0.70,0.10,0.70,0.00,9.00,0.00,1.00,0.17,6.64,13.11,17.63,0.01
Milk (whole),1 cup,,149.00,0.24,7.90,4.60,0.00,24.00,105.00,11.70,0.00,12.30,7.70,6.00,4.00,30.00,0.00,1.44,18.29,163.03,22.38,0.29
Milk (2%),1 cup,,123.00,0.24,4.90,3.10,0.00,20.00,116.00,11.80,0.00,12.50,8.10,10.00,4.00,30.00,0.00,1.29,18.29,163.03,22.38,0.30
Milk (1%),1 cup,,102.00,0.24,2.40,1.50,0.00,12.00,107.00,12.20,0.00,12.70,8.20,10.00,4.00,30.00,0.00,1.29,17.70,157.77,21.66,0.30
Milk (skim),1 cup,,83.00,0.24,0.20,0.10,0.00,5.00,103.00,12.20,0.00,12.50,8.30,10.00,4.00,30.00,0.00,1.63,17.70,157.77,21.66,0.31
Milk (whole flavored),1 cup,,208.00,0.24,8.50,5.30,0.00,30.00,150.00,25.90,2.00,23.90,7.90,6.00,4.00,30.00,0.00,1.44,18.29,163.03,22.38,0.29
Milk (lowfat flavored),1 cup,,155.00,0.24,2.50,1.50,0.00,12.00,162.00,24.70,0.20,24.90,8.70,10.00,4.00,30.00,0.00,1.29,17.70,157.77,21.66,0.30
Buttermilk,1 cup,,152.00,0.24,8.10,4.70,0.00,27.00,257.00,12.00,0.00,12.00,7.90,2.00,4.00,28.00,0.00,1.44,27.74,247.25,33.95,0.27
Yogurt,1 cup,,280.00,0.25,7.00,4.50,0.00,25.00,150.00,44.00,0.00,38.00,9.00,4.00,20.00,35.00,0.00,3.86,21.42,190.92,26.21,0.49
